File ID,G,theta
1,1.51606416,0.071818439
2,0.94565757,0.168506221
3,3.47954295,0.002805402
4,1.2612951,0.106306066
5,304.8882837,3.11E-224
6,4.64106396,0.000395872
7,3.65022567,0.002104631
8,4.5368973,0.000471937
9,3.75313731,0.001769617
10,3.79580799,0.001646841
11,4.95858402,0.000231664
12,2.17934223,0.024633973
13,3.26681706,0.004012492
14,3.96272565,0.001242977
15,3.00138033,0.006266381
16,4.61910111,0.000410817
17,3.58684716,0.002341717
18,12.31049118,9.45E-10
19,4.46912622,0.000529104
20,-35.10228189,1
21,4.16478387,0.000884086
22,57.95870613,3.25E-43
23,-44.02861164,1
24,-69.97301259,1
25,-58.22100531,1
26,3.49334817,0.00274096
27,-11.77083258,0.999999998
28,-64.54818864,1
29,-6.31337811,0.999976462
30,179.9742606,1.16E-132
31,-2.74723878,0.99040892
32,-41.45770317,1
33,-7.90474347,0.999998396
34,-27.89156448,1
35,-36.78338118,1
36,-33.30070068,1
37,-8.85040104,0.999999675
38,-11.64470307,0.999999997
39,-3.94954794,0.9987291
40,-19.81613829,1
41,409.9962087,2.75E-301
42,64.21372581,8.44E-48
43,0.43172688,0.325469887
44,4.32542643,0.000674251
